name,mA,aA,mB,aB,mC,aC
55,7182.00682352941,-0.182352941176471,7178.13458823529,239.863932773109,7173.87327731092,119.758285714286
56,NA,NA,7176.55586554622,239.818554621849,NA,NA
57,NA,NA,7176.48957983193,239.817411764706,NA,NA
58,7181.97250420168,-0.18090756302521,7178.16440336134,239.862823529412,7174.10739495798,119.761109243697
59,7181.29159663866,-0.165747899159664,7177.7225210084,239.839899159664,7177.61878991597,119.78887394958
60,7181.25831932773,-0.165848739495798,7177.6887394958,239.839294117647,7177.63411764706,119.788806722689
61,7181.58060504202,-0.201512605042017,NA,NA,NA,NA
62,7181.55667226891,-0.201680672268908,NA,NA,NA,NA
63,7181.62057142857,-0.200974789915966,NA,NA,NA,NA
64,7182.91226890756,-0.154857142857143,7179.80907563025,239.87068907563,7177.93684033613,119.814756302521
65,7181.14571428571,-0.166084033613445,7177.59321008403,239.837613445378,7177.69536134454,119.788403361345
66,7183.49284033613,-0.148571428571429,7180.01808403361,239.874588235294,7178.27643697479,119.820537815126
67,7183.47105882353,-0.148605042016807,7179.98638655462,239.874218487395,7178.27220168067,119.820504201681
68,NA,NA,NA,NA,7180.59472268908,119.872840336134
69,NA,NA,NA,NA,7180.57842016807,119.872605042017
70,NA,NA,NA,NA,7180.5948907563,119.872840336134
71,7183.56346218487,-0.148100840336134,7180.09465546219,239.875092436975,7178.33048739496,119.821176470588
72,7184.65509243697,-0.134050420168067,7181.13035294118,239.88756302521,7179.08719327731,119.838521008403
73,7184.64047058824,-0.134218487394958,7181.11593277311,239.887529411765,7179.07263865546,119.838386554622
74,7184.66934453782,-0.133848739495798,7181.14346218487,239.887663865546,7179.10218487395,119.83868907563
75,7177.56084033613,-0.19109243697479,7175.6942184874,239.782016806723,7177.89663865546,119.771193277311
76,NA,NA,7175.69294117647,239.781915966387,NA,NA
77,7178.07909243697,-0.184504201680672,7175.77573109244,239.786857142857,7178.0516302521,119.772773109244
78,7177.90894117647,-0.186756302521008,7175.74410084034,239.784907563025,7178.00571428571,119.772235294118
79,7184.69277310924,-0.133613445378151,7181.16494117647,239.887899159664,7179.12369747899,119.838823529412
80,7181.52658823529,-0.202016806722689,NA,NA,NA,NA
81,7185.03761344538,-0.128605042016807,7181.50463865546,239.891495798319,7179.39152941177,119.844537815126
82,7185.01253781513,-0.128974789915966,7181.48010084034,239.891260504202,7179.36507563025,119.844470588235
83,NA,NA,NA,NA,7177.24598319328,119.790621848739
84,7185.06366386555,-0.128336134453782,7181.5301512605,239.89156302521,7179.41825210084,119.844806722689
85,7177.33008403361,-0.194386554621849,7175.43727731092,239.778420168067,7177.68373109244,119.768
86,NA,NA,7175.07902521008,239.803092436975,NA,NA
87,7177.07643697479,-0.199563025210084,NA,NA,NA,NA
88,7177.07213445378,-0.19963025210084,NA,NA,NA,NA
89,NA,NA,7175.14574789916,239.803663865546,NA,NA
90,NA,NA,NA,NA,7177.20527731092,119.790487394958
91,NA,NA,7175.79327731092,239.791025210084,NA,NA
92,7179.06228571429,-0.175495798319328,7176.04752941177,239.79912605042,7178.17354621849,119.776201680672
93,7179.05233613445,-0.175495798319328,7176.0388907563,239.798991596639,7178.16349579832,119.776100840336
94,NA,NA,7175.75579831933,239.790554621849,NA,NA
95,NA,NA,7175.17478991597,239.775193277311,NA,NA
