name,a,b,c
30268,,0.011,
30269,,0.006,
30270,0.009,0.007,0.010
60001,,,
60002,0.019,,
60003,0.000,,
60004,,,0.006
60005,0.014,0.014,0.016
60006,0.081,0.083,0.091
60007,0.000,,
60008,0.169,0.187,0.193
60009,0.169,0.187,0.193
60010,0.002,0.002,0.002
60011,0.014,0.014,0.015
60012,0.007,0.007,0.008
60013,0.015,0.015,0.016
60014,0.011,0.011,0.013
60015,0.007,0.007,0.008
60016,0.022,0.022,0.024
60017,0.008,,
60018,0.008,0.008,0.009
60019,0.040,0.041,0.045
60020,,,0.007
60021,0.169,0.187,0.193
60022,0.008,,
60023,,,0.037
60024,,,0.022
60025,0.008,,
60026,,,0.032
60027,0.169,0.187,0.193
60028,0.005,0.005,0.005
60029,0.169,0.187,0.193
60030,0.007,,
60031,0.007,,
60032,0.015,0.016,0.017
60033,0.015,0.016,0.017
60034,,,0.010
60035,0.015,0.016,0.017
60036,0.015,0.016,0.017
60037,,,0.017
60038,,,0.007
60039,,,0.037
60040,0.009,0.009,0.010
60041,,,0.032
60042,0.009,0.009,0.010
60043,,,0.014
60044,0.169,0.187,0.193
60045,,,0.018
60046,0.005,,
60047,,,0.037
60048,0.015,0.016,0.017
60049,,,0.017
60050,0.009,0.009,0.010
60051,0.002,,
60052,0.014,0.014,0.016
60053,0.002,,
60054,,,0.017
60055,0.081,0.083,0.091
60056,0.022,0.022,0.024
60057,,,0.022
60058,0.011,0.011,0.013
60059,,,0.003
60060,,,0.003
60061,0.169,0.187,0.193
60062,,,0.014
60063,0.169,0.187,0.193
60064,0.071,0.102,0.079
60065,0.071,0.102,0.079
60066,,,0.014
60067,0.005,,
60068,,,
60069,0.019,,
60070,,,0.006
60071,0.169,0.187,0.193
60072,0.001,0.001,0.001
60073,0.002,,
60074,0.169,0.187,0.193
60075,,,0.014
60076,0.021,0.021,0.023
60077,0.004,0.004,0.005
60078,,,0.022
60079,0.004,0.004,0.005
60080,0.014,0.014,0.015
60081,0.008,,
60082,0.169,0.187,0.193
60083,0.013,,
60084,0.014,0.014,0.016
60085,0.005,0.005,0.005
60086,0.000,0.000,0.000
60087,0.000,0.000,0.000
60088,0.000,0.000,0.000
60089,0.019,,
60090,,,0.006
60091,,,
60092,0.002,,
60093,0.002,,
60094,,,
60095,,,0.018
60096,0.169,0.187,0.193
60097,0.169,0.187,0.193
60098,0.022,0.022,0.024
60099,0.011,0.011,0.013
60100,0.169,0.187,0.193
60101,0.005,,
60102,0.169,0.187,0.193
60103,0.005,,
80001,,,
80002,,,
80003,,,
80004,,,
80005,,,
80006,,,
80007,,,
80008,,,
80009,,,
80010,,,
80011,,,
80012,,,
80013,,,
80014,,,
80015,,,
80016,,,
80017,,,
80018,,,
80019,,,
80020,,,
80021,,,
80022,,,
80023,,,
80024,,,
80025,,,
80026,,,
80027,,,
80028,,,
80029,,,
80030,,,
80031,,,
80032,,,
80033,,,
80034,,,
80035,,,
80036,,,
80037,,,
80038,,,
80039,,,
80040,,,
80041,,,
