name,mA,aA,mB,aB,mC,aC
30001,NA,NA,NA,NA,0.274689075630252,93.577512605042
30002,14.1927731092437,-22.9545546218487,1.97936134453782,213.076739495798,22.9675966386555,97.6232941176471
30003,1.88719327731092,-26.8317983193277,1.9133781512605,213.227630252101,7.56894117647059,96.7307226890756
30004,2.85052100840336,-27.3349915966387,1.9133781512605,213.227630252101,7.56894117647059,96.7307226890756
30005,NA,NA,2.88658823529412,216.484773109244,NA,NA
30006,78.9080336134454,-27.9269915966387,87.7463529411765,212.024168067227,90.0980168067227,91.4908235294118
30007,NA,NA,2.56047058823529,220.124302521008,NA,NA
30008,NA,NA,0.21253781512605,221.081579831933,NA,NA
30009,NA,NA,NA,NA,4.66574789915966,99.3187899159664
30010,0.620470588235294,-18.9006722689076,2.88658823529412,216.484773109244,0.487361344537815,100.965613445378
30011,0.77072268907563,-26.6687058823529,0.782252100840336,213.302722689076,0.855697478991597,93.2172773109244
30012,70.4859495798319,-27.2225210084034,75.7028235294118,212.91868907563,80.7304201680672,92.1297478991597
30013,78.9080336134454,-27.9269915966387,87.7463529411765,212.024168067227,90.0980168067227,91.4908235294118
30014,0.212403361344538,-18.8809075630252,NA,NA,NA,NA
30015,5.74127731092437,-19.9535462184874,6.74924369747899,219.970991596639,6.88712605042017,98.1440672268908
30016,0.426588235294118,-18.8808739495798,NA,NA,0.487361344537815,100.965613445378
30017,0.426588235294118,-18.8808739495798,NA,NA,0.487361344537815,100.965613445378
30018,11.4596974789916,-22.5890084033613,1.9133781512605,213.227630252101,21.1474957983193,97.7373445378151
30019,NA,NA,1.40470588235294,220.972268907563,NA,NA
30020,11.6931428571429,-22.5201344537815,1.9133781512605,213.227630252101,21.1474957983193,97.7373445378151
30021,NA,NA,12.3254789915966,217.632840336134,NA,NA
30022,NA,NA,1.40470588235294,220.972268907563,NA,NA
30023,NA,NA,2.88658823529412,216.484773109244,NA,NA
30024,1.5664537815126,-29.6029243697479,1.23902521008403,207.026554621849,1.35331092436975,86.8764033613445
30025,NA,NA,2.88658823529412,216.484773109244,NA,NA
30026,0.0398991596638655,-32.129781512605,0.0402352941176471,207.938991596639,0.0447731092436975,87.7945546218487
30027,5.74127731092437,-19.9535462184874,6.74924369747899,219.970991596639,7.23626890756303,98.2909915966387
30028,NA,NA,4.04709243697479,214.08625210084,NA,NA
30029,NA,NA,NA,NA,0.384134453781513,92.4115630252101
30030,8.45361344537815,-23.3335798319328,1.9133781512605,213.227630252101,9.69398319327731,95.8898823529412
30031,14.1927731092437,-22.9545546218487,1.97936134453782,213.076739495798,22.9675966386555,97.6232941176471
30032,8.45361344537815,-23.3335798319328,1.9133781512605,213.227630252101,9.69398319327731,95.8898823529412
30033,8.45361344537815,-23.3335798319328,1.9133781512605,213.227630252101,10.580974789916,95.5439327731092
30034,5.79757983193277,-19.8811428571429,NA,NA,NA,NA
30035,8.45361344537815,-23.3335798319328,1.9133781512605,213.227630252101,19.3431260504202,97.6796974789916
30036,0.0398991596638655,-32.129781512605,0.0402352941176471,207.938991596639,0.0447731092436975,87.7945882352941
30037,8.67858823529412,-23.2233277310924,1.9133781512605,213.227630252101,19.5941512605042,97.718756302521
30038,NA,NA,2.32383193277311,213.094453781513,NA,NA
30039,8.67858823529412,-23.2233277310924,1.9133781512605,213.227630252101,19.5941512605042,97.718756302521
30040,19.3419159663866,-20.3303865546218,37.0916302521008,218.282756302521,12.7776806722689,97.659025210084
30041,8.67858823529412,-23.2233277310924,1.9133781512605,213.227630252101,20.2054453781513,97.5779159663866
30042,1.92655462184874,-19.2257478991597,NA,NA,NA,NA
30043,3.13771428571429,-19.5433613445378,NA,NA,NA,NA
30044,19.3419159663866,-20.3303865546218,37.0916302521008,218.282756302521,12.7776806722689,97.659025210084
30045,0.784235294117647,-32.5962016806723,1.5596974789916,214.306554621849,0.860336134453782,87.2982521008403
30046,NA,NA,NA,NA,1.33694117647059,94.8308571428571
30047,NA,NA,NA,NA,1.33694117647059,94.8308571428571
30048,3.33210084033613,-34.1369411764706,4.14521008403361,208.43687394958,3.70208403361345,85.5787226890756
30049,1.74991596638655,-32.8125042016807,1.78228571428571,207.191226890756,1.93976470588235,87.059025210084
30050,1.74991596638655,-32.8125042016807,1.78228571428571,207.191226890756,1.93976470588235,87.059025210084
30051,NA,NA,3.15391596638655,220.772134453782,NA,NA
30052,13.4153613445378,-19.9618487394958,10.6126722689076,220.288302521008,7.23626890756303,98.2909915966387
30053,2.77126050420168,-32.8443361344538,2.81885714285714,207.159193277311,3.07038655462185,87.0254117647059
30054,1.89115966386555,-19.2393277310924,NA,NA,NA,NA
30055,2.21519327731092,-33.6093445378151,2.24299159663866,206.389411764706,2.45932773109244,86.1750924369748
30056,NA,NA,NA,NA,3.25542857142857,88.0023193277311
